id,name,brand,seoToken,variantDataIds,stockIndicator,url,size
960775030,Hendrix Long Sleeve Check Overshirt in Beige,Maddox,maddox-hendrix-long-sleeve-check-overshirt-in-beige,"['960718150', '960718240', '960718330', '960718420']",InStock,https://www.myer.com.au/p/maddox-hendrix-long-sleeve-check-overshirt-in-beige,"['S', 'M', 'L', 'XL', 'XXL', 'XXXL']"
960775210,Sorrento Long Sleeve Sherpa Lined Check Overshirt in Navy,Maddox,maddox-sorrento-long-sleeve-sherpa-lined-check-overshirt-in-navy,"['960719050', '960719140', '960719230', '960719320']",InStock,https://www.myer.com.au/p/maddox-sorrento-long-sleeve-sherpa-lined-check-overshirt-in-navy,"['S', 'M', 'L', 'XL', 'XXL', 'XXXL']"
960775570,Parker Long Sleeve Quilted Check Overshirt in Navy,Maddox,maddox-parker-long-sleeve-quilted-check-overshirt-in-navy,"['960699430', '960721300', '960721390', '960721480', '960721570', '960721660']",InStock,https://www.myer.com.au/p/maddox-parker-long-sleeve-quilted-check-overshirt-in-navy,"['S', 'M', 'L', 'XL', 'XXL', 'XXXL']"
960775390,Byson Long Sleeve Sherpa Lined Check Overshirt in Black,Maddox,maddox-byson-long-sleeve-sherpa-lined-check-overshirt-in-black,"['960699250', '960720220', '960720310', '960720400', '960720490', '960720580']",InStock,https://www.myer.com.au/p/maddox-byson-long-sleeve-sherpa-lined-check-overshirt-in-black,"['S', 'M', 'L', 'XL', 'XXL', 'XXXL']"
960775480,Hollow Long Sleeve Quilted Overshirt in Green,Maddox,maddox-hollow-long-sleeve-quilted-overshirt-in-green,"['960699340', '960720850', '960720940', '960721030', '960721120']",InStock,https://www.myer.com.au/p/maddox-hollow-long-sleeve-quilted-overshirt-in-green,"['S', 'M', 'L', 'XL', 'XXL', 'XXXL']"
985926160,Flannel Tattersall Check Long Sleeve Shirt in Multi,Tommy Hilfiger,tommy-hilfiger-flannel-tattersall-check-long-sleve-shirt-in-multi,"['985940830', '985940920', '985941010', '985941100', '985941190', '985941280']",InStock,https://www.myer.com.au/p/tommy-hilfiger-flannel-tattersall-check-long-sleve-shirt-in-multi,"['XS', 'S', 'M', 'L', 'XL', 'XXL']"
985927060,Flannel Tattersall Check Long Sleeve Shirt in Multi,Tommy Hilfiger,tommy-hilfiger-flannel-tattersall-check-long-sleve-shirt-in-multi-985927060-1,"['985947220', '985947310', '985947400', '985947490', '985947580']",InStock,https://www.myer.com.au/p/tommy-hilfiger-flannel-tattersall-check-long-sleve-shirt-in-multi,"['XS', 'S', 'M', 'L', 'XL', 'XXL']"
960774040,Alec Linen Long Sleeve Shirt in Green,Maddox,maddox-alec-linen-long-sleeve-shirt-in-green,"['960697900', '960712750', '960712840', '960712930', '960713020', '960713110']",InStock,https://www.myer.com.au/p/maddox-alec-linen-long-sleeve-shirt-in-green,"['S', 'M', 'L', 'XL', 'XXL', 'XXXL']"
960774130,Alec Linen Long Sleeve Shirt in Navy,Maddox,maddox-alec-linen-long-sleeve-shirt-in-navy,"['960697990', '960713200', '960713290', '960713380', '960713470', '960713560']",InStock,https://www.myer.com.au/p/maddox-alec-linen-long-sleeve-shirt-in-green,"['S', 'M', 'L', 'XL', 'XXL', 'XXXL']"
960773950,Alec Linen Long Sleeve Shirt in Beige,Maddox,maddox-alec-linen-long-sleeve-shirt-in-beige,"['960697810', '960712300', '960712390', '960712480', '960712570', '960712660']",InStock,https://www.myer.com.au/p/maddox-alec-linen-long-sleeve-shirt-in-green,"['S', 'M', 'L', 'XL', 'XXL', 'XXXL']"
960773860,Alec Linen Long Sleeve Shirt in Orange,Maddox,maddox-alec-linen-long-sleeve-shirt-in-orange,"['960697720', '960711850', '960711940', '960712030', '960712120', '960712210']",InStock,https://www.myer.com.au/p/maddox-alec-linen-long-sleeve-shirt-in-green,"['S', 'M', 'L', 'XL', 'XXL', 'XXXL']"
954330400_954322390,Oxford Slim Fit Shirt in Khaki,French Connection,french-connection-oxford-slim-fit-shirt-in-khaki,"['954322390', '954322480', '954322570', '954322660', '954322750', '954322840']",InStock,https://www.myer.com.au/p/french-connection-oxford-slim-fit-shirt-in-khaki,"['L', 'M', 'S', 'XL', 'XS', 'XXL']"
954330400_954321850,Oxford Slim Fit Shirt in Sky Blue,French Connection,french-connection-oxford-slim-fit-shirt-in-sky-blue,"['954321850', '954321940', '954322030', '954322120', '954322210', '954322300']",InStock,https://www.myer.com.au/p/french-connection-oxford-slim-fit-shirt-in-khaki,"['L', 'M', 'S', 'XL', 'XS', 'XXL']"
990504190,Oxford Slim Fit Shirt in tan,French Connection,french-connection-oxford-slim-fit-shirt-in-tan,"['990499870', '990499960', '990500050', '990500140', '990500230']",InStock,https://www.myer.com.au/p/french-connection-oxford-slim-fit-shirt-in-khaki,"['L', 'M', 'S', 'XL', 'XS', 'XXL']"
805044520,Oxford Slim Fit Shirt,French Connection,french-connection-oxford-slim-fit-shirt-805044520-1,"['805025260', '805025350', '805025440', '805025530', '805025620', '805025710']",InStock,https://www.myer.com.au/p/french-connection-oxford-slim-fit-shirt-in-khaki,"['L', 'M', 'S', 'XL', 'XS', 'XXL']"
740481940_740498140,Oxford Slim Fit Shirt,French Connection,french-connection-oxford-slim-fit-shirt-740481940-740498140-1,"['740498140', '740498230', '740498320', '740498410', '740498500', '740498590']",InStock,https://www.myer.com.au/p/french-connection-oxford-slim-fit-shirt-in-khaki,"['L', 'M', 'S', 'XL', 'XS', 'XXL']"
740481940_740497600,Oxford Slim Fit Shirt,French Connection,french-connection-oxford-slim-fit-shirt-740481940-740497600-1,"['740497600', '740497690', '740497780', '740497870', '740497960', '740498050']",InStock,https://www.myer.com.au/p/french-connection-oxford-slim-fit-shirt-in-khaki,"['L', 'M', 'S', 'XL', 'XS', 'XXL']"
